Geneid	Chr	Start	End	Strand	Length	Sample_HBBx1.bam	Sample_HBBx2.bam	Sample_MJBx1.bam	Sample_MJBx2.bam	Sample_OCBx1.bam	Sample_OCBx2.bam	Sample_Pt10-Bx1.bam	Sample_Pt10-Bx2.bam	Sample_Pt12-Bx1.bam	Sample_Pt12-Bx2.bam	Sample_Pt2-Bx1.bam	Sample_Pt2-Bx2.bam	Sample_Pt6-Bx1.bam	Sample_Pt6-Bx2.bam	Sample_Pt8-Bx1.bam	Sample_Pt8-Bx2.bam	Sample_Pt9-Bx1.bam	Sample_Pt9-Bx2.bam	Sample_RJBx1.bam	Sample_RJBx2.bam
ENSG00000229905.1	chr1;chr1	760911;761778	761154;761989	+;+	456	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228327.2	chr1;chr1;chr1;chr1;chr1;chr1;chr1	764857;766329;768548;769497;772976;774171;778284	765247;766387;768613;769712;773107;774280;778626	-;-;-;-;-;-;-	1317	0	0	3	1	0	0	3	0	0	1	2	0	3	0	5	1	4	2	1	0
ENSG00000237491.8	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	778770;781937;783111;784370;785800;792882;795470;801607;803567;803919;804776;806386;807217;809622	779092;782191;783363;784977;787672;793041;795582;801876;803667;804222;805270;806459;807465;810060	+;+;+;+;+;+;+;+;+;+;+;+;+;+	5517	1	3	0	0	0	2	7	1	4	2	0	6	0	3	7	1	0	2	2	0
ENSG00000230092.7	chr1;chr1;chr1;chr1;chr1	800879;805799;808574;810067;817373	801163;805891;808623;810170;817712	-;-;-;-;-	872	2	2	1	1	3	1	1	0	1	0	1	2	5	3	1	0	2	0	1	0
ENSG00000177757.2	chr1;chr1	817371;818723	818202;819837	+;+	1947	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ENSG00000228794.8	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	825138;826832;827608;827821;829003;831605;841200;847654;849484;850178;851348;852671;853391	825552;826923;827775;827853;829104;831677;842020;847806;849602;850351;852515;852766;859446	+;+;+;+;+;+;+;+;+;+;+;+;+	9470	209	175	145	160	80	101	68	224	92	159	185	133	233	228	280	195	190	173	216	160
ENSG00000225880.5	chr1	826206	827522	-	1317	0	1	4	2	0	0	0	0	4	2	0	1	1	2	3	7	2	5	3	3
ENSG00000230368.2	chr1;chr1;chr1;chr1;chr1	868071;869528;870086;874112;876746	868675;869575;870201;875155;876903	-;-;-;-;-	1971	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000234711.1	chr1	873292	874349	+	1058	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000272438.1	chr1;chr1	904834;915750	904957;915976	+;+	351	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230699.2	chr1;chr1	911435;911945	911473;914948	+;+	3043	1	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
ENSG00000241180.1	chr1;chr1	914171;914803	914444;914971	+;+	443	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000223764.2	chr1	916865	921016	-	4152	17	42	15	14	25	35	15	3	6	1	14	11	16	8	19	3	15	2	29	7
ENSG00000187634.10	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	924880;925150;925738;925922;930155;931039;935772;939040;939272;940346;941076;942103;943253;943698	924948;925189;925800;926013;930336;931089;935896;939129;939460;940462;941306;943058;943377;944581	+;+;+;+;+;+;+;+;+;+;+;+;+;+	3214	23	25	9	11	15	20	7	6	7	9	0	3	14	10	3	5	3	2	20	9
ENSG00000188976.10	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	944204;945042;945319;945518;946173;946402;948131;948490;951127;952000;952412;953175;953782;954004;955923;956095;956894;957099;959215	944800;945146;945422;945653;946286;947060;948232;948603;951238;952139;952600;953288;953892;954523;956013;956215;957025;959081;959309	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	5539	464	586	372	314	405	413	244	455	561	715	344	483	488	409	297	383	242	318	276	526
ENSG00000187961.13	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	960587;961293;961826;962704;963032;963337;963552;964107;964349;964963	960800;961750;962478;962917;963253;963504;964008;964180;964530;965715	+;+;+;+;+;+;+;+;+;+	3395	23	18	36	16	28	33	42	55	35	28	26	36	55	33	32	26	31	26	27	5
ENSG00000277294.1	chr1	965110	965166	+	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000187583.10	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	966497;966704;970277;970521;970686;971077;971324;972075;972288;972861;973186;973500;973833;974316;974442;975712	966614;966803;970423;970601;971006;971208;971523;972150;972424;973010;973326;973640;974051;974364;975108;975865	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	2833	1	4	0	0	1	13	1	41	1	9	1	15	0	0	2	1	4	8	0	5
ENSG00000187642.9	chr1;chr1;chr1;chr1;chr1	975204;976499;978881;981137;982065	976269;976641;981029;981173;982093	-;-;-;-;-	3424	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ENSG00000272512.1	chr1	995966	998051	-	2086	0	2	1	3	0	0	0	3	0	9	0	0	0	0	0	0	0	0	1	3
ENSG00000188290.10	chr1;chr1	998962;999526	999432;1000172	-;-	1118	4	53	0	18	2	12	4	31	3	39	8	5	2	6	0	8	0	22	3	30
ENSG00000187608.8	chr1;chr1;chr1;chr1	1001138;1008194;1013423;1013984	1001281;1008279;1013576;1014541	+;+;+;+	942	97	115	100	75	122	285	84	136	40	260	38	95	46	29	58	65	60	75	194	967
ENSG00000231702.2	chr1	1008076	1008229	-	154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224969.1	chr1;chr1	1011997;1012917	1012190;1013193	-;-	471	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000188157.13	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	1020123;1022201;1034106;1034867;1040665;1041173;1041478;1041956;1043239;1043538;1043823;1044109;1044334;1045161;1045359;1045733;1045964;1046160;1046397;1046820;1047201;1047475;1047776;1048012;1048529;1049236;1049566;1049903;1050233;1050427;1050726;1051032;1051253;1051453;1051728;1051986;1054448;1054824	1020373;1022462;1034703;1035324;1040880;1041397;1041702;1042162;1043457;1043732;1044023;1044257;1044439;1045277;1045523;1045876;1046088;1046349;1046735;1046957;1047454;1047687;1047895;1048365;1049059;1049451;1049795;1050037;1050329;1050591;1050837;1051043;1051369;1051645;1051815;1053977;1054551;1056118	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	10758	162	242	316	140	407	393	338	375	208	129	307	278	391	238	324	157	270	124	245	141
ENSG00000242590.1	chr1;chr1	1055033;1055898	1055215;1056116	+;+	402	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000217801.9	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	1059734;1060280;1061020;1063079;1063480;1064210;1064490;1065352;1065830;1066587;1067566;1067869;1068577;1069208	1059846;1060393;1061117;1063201;1063566;1064401;1064589;1065475;1066456;1066667;1067646;1068003;1068724;1069355	+;+;+;+;+;+;+;+;+;+;+;+;+;+	2171	3	3	18	4	0	13	1	6	0	4	8	20	2	2	1	4	2	5	5	7
ENSG00000273443.1	chr1;chr1	1062208;1063061	1062808;1063288	-;-	829	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000237330.2	chr1;chr1	1070966;1074016	1072575;1074307	-;-	1902	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000131591.17	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	1081818;1085251;1085878;1087139;1090353;1092566;1105956;1106650;1115022;1116060	1084506;1085310;1086012;1087636;1092294;1092813;1106127;1106871;1115075;1116361	-;-;-;-;-;-;-;-;-;-	6322	16	42	14	5	10	15	8	27	24	23	11	20	19	11	8	7	19	10	20	29
ENSG00000223823.1	chr1;chr1;chr1	1137017;1140825;1142739	1137110;1141032;1144056	+;+;+	1620	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0
ENSG00000207730.2	chr1	1167092	1167202	+	111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000207607.2	chr1	1167846	1167956	+	111	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000198976.1	chr1	1169005	1169087	+	83	0	3	0	1	0	0	0	2	0	0	0	0	0	0	1	2	0	0	0	0
ENSG00000272141.1	chr1	1169357	1170343	+	987	0	0	2	0	0	1	1	0	1	2	0	0	0	0	0	0	0	0	0	2
ENSG00000205231.1	chr1;chr1	1173056;1179365	1176396;1179555	-;-	3532	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000162571.13	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	1173884;1174266;1174424;1174521;1179189;1179657;1180034;1180483;1181741;1182361;1182876;1183920;1184969;1196386;1196600;1197093;1197438	1173926;1174321;1174489;1175034;1179333;1179853;1180340;1180884;1181815;1182446;1183047;1184091;1185864;1196488;1196716;1197186;1197935	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	3943	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2
ENSG00000186891.13	chr1;chr1;chr1;chr1;chr1	1203508;1204034;1204399;1205370;1206385	1203968;1204236;1204486;1205680;1206691	-;-;-;-;-	1370	1	0	1	0	0	4	0	1	0	0	0	1	0	0	0	0	0	0	0	2
ENSG00000186827.10	chr1;chr1;chr1;chr1;chr1	1211326;1211942;1212638;1212992;1213983	1211832;1212138;1212704;1213785;1214138	-;-;-;-;-	1721	0	1	0	0	2	0	2	0	0	1	0	0	1	0	0	0	0	0	0	1
ENSG00000078808.16	chr1;chr1;chr1;chr1;chr1;chr1;chr1	1216908;1218458;1223244;1223832;1227272;1228468;1231892	1217804;1221351;1223357;1223968;1227319;1228946;1232031	-;-;-;-;-;-;-	4709	2154	2069	1956	1424	2216	1864	1778	2453	1486	1829	1670	2042	2215	1871	1298	1525	1692	1892	1519	2075
ENSG00000176022.4	chr1	1232265	1235041	+	2777	122	131	92	61	81	99	123	182	123	122	97	161	97	91	94	53	58	121	108	158
ENSG00000184163.3	chr1;chr1;chr1;chr1;chr1	1242446;1242835;1243954;1244381;1246514	1242646;1243552;1244275;1244724;1246722	-;-;-;-;-	1794	2	4	2	2	2	0	1	4	2	1	0	6	1	3	3	0	3	0	1	6
ENSG00000260179.1	chr1	1249777	1251334	-	1558	4	6	4	0	3	1	0	0	1	1	2	2	3	2	6	1	3	0	2	4
ENSG00000160087.20	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	1253909;1256045;1256992;1257208;1262170;1262853;1264783;1266098;1267733;1271510;1272853	1255487;1256335;1257130;1257310;1262390;1263569;1264830;1266290;1267992;1271637;1273885	-;-;-;-;-;-;-;-;-;-;-	4712	335	418	320	243	371	393	196	312	253	385	262	367	285	282	271	268	238	318	260	325
ENSG00000230415.1	chr1;chr1;chr1	1275223;1279068;1280311	1275299;1279393;1280420	+;+;+	513	12	11	13	19	5	8	3	5	5	3	12	10	6	7	21	15	10	4	7	3
ENSG00000162572.19	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	1280436;1281925;1282109;1283978;1285571;1285926;1286768;1287109;1287508;1287939;1290271;1290477;1290637;1290895;1291065;1291254	1281610;1282010;1282319;1284090;1285664;1286278;1286975;1287299;1287836;1288037;1290388;1290555;1290694;1290953;1291140;1292029	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	4025	34	36	45	48	13	22	13	18	12	9	17	25	21	11	30	22	28	14	34	28
ENSG00000131584.18	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	1292376;1293823;1294090;1294402;1294718;1295447;1295736;1296015;1296211;1296425;1297822;1298013;1298370;1298567;1299973;1300158;1300509;1301448;1302922;1303162;1307072;1307337;1307769;1309442	1293708;1293933;1294199;1294628;1295008;1295554;1295938;1296109;1296280;1296633;1297933;1298265;1298421;1299905;1300068;1300202;1300692;1302046;1302975;1305929;1307156;1307383;1308018;1309609	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	8809	159	212	194	115	232	162	221	278	156	237	272	231	197	127	162	147	148	121	175	184
ENSG00000278073.1	chr1	1296110	1296170	-	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000169972.11	chr1;chr1;chr1;chr1;chr1	1308567;1308788;1309086;1310036;1311330	1308720;1308972;1309851;1311071;1311677	+;+;+;+;+	2489	20	39	20	15	34	28	40	30	34	45	3	17	21	13	20	17	14	20	28	59
ENSG00000127054.18	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	1311585;1312018;1312226;1313732;1316157;1318679;1321908;1322771;1324581	1311924;1312147;1313592;1315697;1317450;1321096;1321984;1323287;1324691	-;-;-;-;-;-;-;-;-	8220	235	278	309	211	285	270	271	387	387	425	304	305	376	324	272	275	216	189	255	323
ENSG00000274153.1	chr1	1312502	1312566	-	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000240731.1	chr1;chr1	1317581;1318623	1317899;1318689	-;-	386	8	15	17	14	16	8	21	29	26	25	30	33	28	22	30	13	20	18	16	6
ENSG00000224051.6	chr1;chr1;chr1;chr1	1324756;1325241;1326836;1327241	1325102;1325595;1327032;1328897	+;+;+;+	2556	104	158	146	146	104	77	69	86	67	88	74	94	98	64	113	83	102	62	160	117
ENSG00000169962.4	chr1;chr1;chr1;chr1;chr1;chr1	1331314;1331638;1332024;1332921;1333259;1333506	1331536;1331938;1332806;1333124;1333379;1335306	+;+;+;+;+;+	3433	1	1	5	1	2	0	0	5	1	0	2	3	2	6	1	1	2	1	2	1
ENSG00000107404.17	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	1335276;1337018;1337977;1338269;1338522;1339287;1340038;1340247;1340410;1341667;1342363;1342689;1348896	1336515;1337055;1338183;1338436;1338653;1339812;1340190;1340365;1340503;1342156;1342484;1342758;1349350	-;-;-;-;-;-;-;-;-;-;-;-;-	3814	137	197	282	163	188	187	261	289	253	352	167	281	324	220	245	282	215	271	233	308
ENSG00000275884.1	chr1	1339650	1339708	-	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000162576.16	chr1;chr1;chr1;chr1;chr1;chr1;chr1	1352689;1354030;1354193;1354682;1356681;1358456;1361242	1353946;1354106;1354509;1355752;1356704;1358794;1361777	-;-;-;-;-;-;-	3622	27	20	31	27	14	30	19	19	17	12	6	11	7	11	16	9	17	12	18	31
ENSG00000175756.13	chr1;chr1	1373730;1374000	1373902;1375495	-;-	1669	181	413	119	123	127	137	224	306	251	392	89	77	101	81	72	69	55	134	211	434
ENSG00000223663.2	chr1	1378666	1379032	+	367	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ENSG00000221978.11	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	1385711;1387777;1387954;1388816;1388950;1389346;1390230;1390459;1390766;1393080;1395185;1398233;1398597;1398988	1387582;1387869;1388743;1388830;1389047;1389473;1390371;1390563;1392803;1393460;1395537;1398366;1398956;1399328	-;-;-;-;-;-;-;-;-;-;-;-;-;-	6850	2217	1716	2177	1923	2157	2197	1493	1449	2049	3036	1675	2094	1966	1967	2212	2367	1470	2525	2362	962
ENSG00000224870.6	chr1	1399522	1402046	+	2525	115	80	92	38	124	34	126	80	106	85	83	88	107	65	96	72	67	49	103	100
ENSG00000242485.5	chr1;chr1;chr1	1401908;1405109;1407131	1402601;1407019;1407313	-;-;-	2788	569	470	384	374	409	348	346	451	370	548	241	239	251	202	190	325	193	412	558	1006
ENSG00000264293.2	chr1	1405460	1405752	-	293	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000272455.1	chr1	1409096	1410618	+	1523	4	28	6	8	7	9	7	5	1	3	3	4	7	8	8	15	2	4	18	17
ENSG00000235098.8	chr1;chr1;chr1	1418420;1420052;1420797	1419549;1420592;1421769	-;-;-	2644	3	2	2	0	1	0	2	3	0	1	1	1	0	0	3	0	0	5	0	1
